SMIELS,name
NC(=O)Cn1cc(-c2cccc(-c3cnc(N)c(C(=O)NC4[C@H]5CC6C[C@H]4CC(O)(C6)C5)n3)c2)cn1,ZINC000101503593
CC(C)(NC(=O)c1nc(-c2cccc3cn[nH]c23)cnc1N)C1CCNCC1,ZINC000084596689
Nc1ncc(-c2cccc(-c3cn[nH]c3)c2)nc1C(=O)NC1[C@H]2CC3C[C@H]1CC(O)(C3)C2,ZINC000101503475
Nc1ncc(-c2cccc(-c3cnn(CC(F)(F)F)c3)c2)nc1C(=O)NC1[C@H]2CC3C[C@H]1CC(O)(C3)C2,ZINC000101503528
CC(C)(NC(=O)c1nc(-c2cccc(OC(F)(F)F)c2)cnc1N)C1CCNCC1,ZINC000084596687
Nc1ncc(-c2cccc(-c3cnn(CCO)c3)c2)nc1C(=O)NC1[C@H]2CC3C[C@H]1CC(O)(C3)C2,ZINC000101503563
Nc1ncc(-c2cccc(-c3cnn(CC(=O)O)c3)c2)nc1C(=O)NC1[C@H]2CC3C[C@H]1CC(O)(C3)C2,ZINC000101503585
COCCn1cc(-c2cccc(-c3cnc(N)c(C(=O)NC4[C@H]5CC6C[C@H]4CC(O)(C6)C5)n3)c2)cn1,ZINC000101503603
Cn1cc(-c2cccc(-c3cnc(N)c(C(=O)NC(C)(C)C4CCNCC4)n3)c2)cn1,ZINC000084633820
CC(C)(NC(=O)c1nc(-c2ccc3cn[nH]c3c2)cnc1N)C1CCNCC1,ZINC000084635389
Nc1ncc(-c2ccc3cn[nH]c3c2)nc1C(=O)NC1[C@H]2CC3C[C@H]1CC(O)(C3)C2,ZINC000101503463
Nc1ccc(-c2cccc(-c3cnc(N)c(C(=O)NC4[C@H]5CC6C[C@H]4CC(O)(C6)C5)n3)c2)cn1,ZINC000101503469
CC(C)(NC(=O)c1nc(-c2cccc(NS(C)(=O)=O)c2)cnc1N)C1CCNCC1,ZINC000084635302
O[C@@H]1COC[C@H]1Nc1nc(Nc2cc(Cl)cc(Cl)c2)ncc1-c1ccc(F)cc1,ZINC000095596733
